date;Market Cap;Volume;Open;Close
15.04.2024;$1.293.286.386.553;$40.292.911.693;$65.753;$63.431
14.04.2024;$1.270.009.515.097;$49.214.481.480;$64.405;$65.753
13.04.2024;$1.321.648.247.460;$43.471.949.726;$67.252;$64.405
12.04.2024;$1.379.324.055.321;$30.118.549.150;$70.107;$67.252
11.04.2024;$1.387.722.485.989;$38.378.062.633;$70.528;$70.107
10.04.2024;$1.361.830.648.709;$36.488.482.039;$69.159;$70.528
09.04.2024;$1.410.324.678.269;$33.111.949.671;$71.624;$69.159
08.04.2024;$1.367.272.232.852;$17.935.478.429;$69.402;$71.624
07.04.2024;$1.358.548.956.715;$19.119.438.139;$69.001;$69.402
06.04.2024;$1.337.452.583.876;$35.132.808.696;$67.979;$69.001
05.04.2024;$1.348.455.954.443;$37.516.850.710;$68.542;$67.979
04.04.2024;$1.301.670.235.624;$35.559.952.962;$66.124;$68.542
03.04.2024;$1.288.360.536.577;$45.161.133.992;$65.440;$66.124
02.04.2024;$1.373.784.286.061;$36.040.088.989;$69.786;$65.440
01.04.2024;$1.401.370.211.582;$19.723.005.998;$71.247;$69.786
31.03.2024;$1.370.247.487.960;$16.408.802.302;$69.702;$71.247
30.03.2024;$1.374.646.886.108;$25.785.951.735;$69.919;$69.702
29.03.2024;$1.390.869.723.348;$30.455.289.338;$70.710;$69.919
28.03.2024;$1.360.261.687.784;$41.441.040.888;$69.436;$70.710
27.03.2024;$1.375.728.580.463;$36.257.324.509;$70.082;$69.436
26.03.2024;$1.371.797.489.739;$44.820.310.273;$69.939;$70.082
25.03.2024;$1.323.456.466.318;$28.098.318.940;$67.311;$69.939
24.03.2024;$1.264.722.355.271;$25.489.933.246;$64.286;$67.311
23.03.2024;$1.247.366.367.469;$42.436.600.224;$63.509;$64.286
22.03.2024;$1.287.348.061.971;$48.393.664.548;$65.536;$63.509
21.03.2024;$1.332.594.162.508;$70.836.803.715;$67.819;$65.536
20.03.2024;$1.223.867.418.062;$80.179.417.876;$62.133;$67.819
19.03.2024;$1.331.771.923.948;$51.101.822.567;$67.709;$62.133
18.03.2024;$1.344.508.983.080;$47.190.980.587;$68.425;$67.709
17.03.2024;$1.282.404.282.863;$49.265.436.013;$65.292;$68.425
16.03.2024;$1.367.669.237.528;$81.204.427.005;$69.498;$65.292
15.03.2024;$1.403.843.488.135;$63.073.551.322;$71.420;$69.498
14.03.2024;$1.436.631.290.572;$51.906.601.044;$73.098;$71.420
13.03.2024;$1.403.692.914.139;$64.599.341.551;$71.467;$73.098
12.03.2024;$1.417.772.589.114;$66.653.067.166;$72.131;$71.467
11.03.2024;$1.357.390.358.032;$36.660.543.917;$69.076;$72.131
10.03.2024;$1.346.027.264.110;$21.359.706.191;$68.508;$69.076
09.03.2024;$1.340.971.395.885;$63.346.588.227;$68.315;$68.508
08.03.2024;$1.317.508.010.581;$48.853.892.626;$66.945;$68.315
07.03.2024;$1.297.845.751.760;$73.151.905.042;$66.146;$66.945
06.03.2024;$1.264.870.242.319;$96.403.762.013;$64.292;$66.146
05.03.2024;$1.333.913.436.699;$74.551.714.626;$68.187;$64.292
04.03.2024;$1.236.312.176.673;$27.108.369.390;$63.053;$68.187
03.03.2024;$1.219.383.305.483;$25.198.213.831;$62.068;$63.053
02.03.2024;$1.227.712.629.022;$36.699.193.361;$62.427;$62.068
01.03.2024;$1.206.725.326.872;$67.692.687.247;$61.298;$62.427
29.02.2024;$1.225.273.849.242;$87.218.855.804;$62.559;$61.298
28.02.2024;$1.118.963.733.317;$51.983.799.587;$57.004;$62.559
27.02.2024;$1.071.049.856.129;$35.407.941.476;$54.478;$57.004
26.02.2024;$1.016.549.456.019;$15.455.098.216;$51.752;$54.478
25.02.2024;$1.012.485.917.140;$15.528.276.124;$51.553;$51.752
24.02.2024;$999.139.504.636;$22.637.679.780;$50.841;$51.553
23.02.2024;$1.007.314.397.269;$23.733.644.209;$51.320;$50.841
22.02.2024;$1.018.869.881.156;$30.624.246.621;$51.843;$51.320
21.02.2024;$1.026.424.315.286;$34.499.627.551;$52.287;$51.843
20.02.2024;$1.016.146.442.772;$22.555.121.072;$51.764;$52.287
19.02.2024;$1.023.586.119.011;$17.025.880.431;$52.138;$51.764
18.02.2024;$1.015.778.284.419;$19.851.884.283;$51.685;$52.138
17.02.2024;$1.024.019.280.535;$24.850.432.118;$52.166;$51.685
16.02.2024;$1.020.725.811.640;$31.991.869.491;$51.958;$52.166
15.02.2024;$1.017.596.576.730;$41.805.076.940;$51.790;$51.958
14.02.2024;$974.585.308.372;$37.331.081.151;$49.732;$51.790
13.02.2024;$981.463.410.833;$37.684.440.687;$50.050;$49.732
12.02.2024;$945.579.645.769;$13.196.875.461;$48.190;$50.050
11.02.2024;$938.210.772.985;$16.461.159.742;$47.769;$48.190
10.02.2024;$925.541.926.939;$41.993.952.311;$47.143;$47.769
09.02.2024;$890.468.166.608;$27.709.605.138;$45.338;$47.143
08.02.2024;$868.672.050.078;$21.200.879.625;$44.247;$45.338
07.02.2024;$845.393.687.726;$17.131.113.853;$43.088;$44.247
06.02.2024;$836.630.860.392;$18.682.275.992;$42.648;$43.088
05.02.2024;$835.416.357.159;$11.250.814.654;$42.599;$42.648
04.02.2024;$842.668.526.995;$7.779.819.312;$42.977;$42.599
03.02.2024;$846.561.992.602;$18.624.791.426;$43.171;$42.977
02.02.2024;$844.585.195.328;$22.443.682.769;$43.069;$43.171
01.02.2024;$835.421.372.331;$22.197.944.957;$42.583;$43.069
31.01.2024;$839.294.111.913;$24.526.664.209;$42.892;$42.583
30.01.2024;$849.198.976.216;$20.680.322.267;$43.268;$42.892
29.01.2024;$824.240.091.063;$13.669.905.345;$42.027;$43.268
